Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,TotalGoals,TotalShots,TotalShotsOnTarget,TotalFouls,TotalCorners,TotalYellowCards,TotalRedCards,GoalDifferenceAbs,DisciplineScore
2000/01,2000-08-19,Charlton,Man City,4,0,H,2,0,H,17,8,14,4,13,12,6,6,1,2,0,0,4,25,18,25,12,3,0,4,3
2000/01,2000-08-19,Chelsea,West Ham,4,2,H,1,0,H,17,12,10,5,19,14,7,7,1,2,0,0,6,29,15,33,14,3,0,2,3
2000/01,2000-08-19,Coventry,Middlesbrough,1,3,A,1,1,D,6,16,3,9,15,21,8,4,5,3,1,0,4,22,12,36,12,8,1,2,13
2000/01,2000-08-19,Derby,Southampton,2,2,D,1,2,A,6,13,4,6,11,13,5,8,1,1,0,0,4,19,10,24,13,2,0,0,2
2000/01,2000-08-19,Leeds,Everton,2,0,H,2,0,H,17,12,8,6,21,20,6,4,1,3,0,0,2,29,14,41,10,4,0,2,4
2000/01,2000-08-19,Leicester,Aston Villa,0,0,D,0,0,D,5,5,4,3,12,12,5,4,2,3,0,0,0,10,7,24,9,5,0,0,5
2000/01,2000-08-19,Liverpool,Bradford,1,0,H,0,0,D,16,3,10,2,8,8,6,1,1,1,0,0,1,19,12,16,7,2,0,1,2
2000/01,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,D,8,14,2,7,10,21,2,9,3,1,0,1,1,22,9,31,11,4,1,1,9
2000/01,2000-08-19,Tottenham,Ipswich,3,1,H,2,1,H,20,15,6,5,14,13,3,4,0,0,0,0,4,35,11,27,7,0,0,2,0
2000/01,2000-08-20,Man United,Newcastle,2,0,H,1,0,H,19,9,9,6,7,13,7,1,0,1,0,0,2,28,15,20,8,1,0,2,1
2000/01,2000-08-21,Arsenal,Liverpool,2,0,H,1,0,H,17,7,12,4,25,20,10,11,2,4,1,2,2,24,16,45,21,6,3,2,21
2000/01,2000-08-22,Bradford,Chelsea,2,0,H,1,0,H,12,14,3,6,14,16,6,4,0,1,0,0,2,26,9,30,10,1,0,2,1
2000/01,2000-08-22,Ipswich,Man United,1,1,D,1,1,D,13,15,8,6,10,7,4,6,1,4,0,0,2,28,14,17,10,5,0,0,5
2000/01,2000-08-22,Middlesbrough,Tottenham,1,1,D,0,1,A,12,11,6,4,9,18,5,5,2,1,0,0,2,23,10,27,10,3,0,0,3
2000/01,2000-08-23,Everton,Charlton,3,0,H,0,0,D,13,8,8,4,17,15,3,5,2,1,0,1,3,21,12,32,8,3,1,3,8
2000/01,2000-08-23,Man City,Sunderland,4,2,H,2,0,H,15,9,10,4,24,14,7,3,3,3,0,0,6,24,14,38,10,6,0,2,6
2000/01,2000-08-23,Newcastle,Derby,3,2,H,1,1,D,9,10,4,5,23,11,9,6,0,3,1,0,5,19,9,34,15,3,1,1,8
2000/01,2000-08-23,Southampton,Coventry,1,2,A,0,1,A,12,7,4,5,18,20,6,5,5,3,0,0,3,19,9,38,11,8,0,1,8
2000/01,2000-08-23,West Ham,Leicester,0,1,A,0,0,D,17,4,12,2,16,14,11,5,3,3,1,0,1,21,14,30,16,6,1,1,11
2000/01,2000-08-26,Arsenal,Charlton,5,3,H,1,2,A,18,7,9,4,12,15,8,3,0,1,0,0,8,25,13,27,11,1,0,2,1
2000/01,2000-08-26,Bradford,Leicester,0,0,D,0,0,D,8,13,4,8,11,12,6,8,1,2,0,0,0,21,12,23,14,3,0,0,3
2000/01,2000-08-26,Everton,Derby,2,2,D,2,0,H,12,7,9,4,11,9,11,2,2,3,0,0,4,19,13,20,13,5,0,0,5
2000/01,2000-08-26,Ipswich,Sunderland,1,0,H,0,0,D,14,9,5,3,10,12,7,6,1,1,0,0,1,23,8,22,13,2,0,1,2
2000/01,2000-08-26,Man City,Coventry,1,2,A,0,2,A,14,9,5,8,7,12,5,5,2,3,0,0,3,23,13,19,10,5,0,1,5
2000/01,2000-08-26,Middlesbrough,Leeds,1,2,A,0,2,A,15,16,8,11,12,20,4,8,2,0,0,0,3,31,19,32,12,2,0,1,2
2000/01,2000-08-26,Newcastle,Tottenham,2,0,H,1,0,H,15,10,6,2,13,10,4,2,0,0,0,0,2,25,8,23,6,0,0,2,0
2000/01,2000-08-26,Southampton,Liverpool,3,3,D,0,1,A,14,9,7,4,7,6,7,1,0,0,0,0,6,23,11,13,8,0,0,0,0
2000/01,2000-08-26,West Ham,Man United,2,2,D,0,1,A,17,8,8,5,12,9,7,5,1,0,0,0,4,25,13,21,12,1,0,0,1
2000/01,2000-08-27,Aston Villa,Chelsea,1,1,D,1,1,D,12,11,9,7,13,12,7,10,0,1,0,0,2,23,16,25,17,1,0,0,1
2000/01,2000-09-05,Leeds,Man City,1,2,A,0,2,A,6,8,1,3,18,24,9,4,2,2,0,0,3,14,4,42,13,4,0,1,4
2000/01,2000-09-05,Man United,Bradford,6,0,H,2,0,H,21,6,12,4,12,10,5,1,0,1,0,0,6,27,16,22,6,1,0,6,1
2000/01,2000-09-05,Sunderland,West Ham,1,1,D,1,1,D,17,16,7,9,19,14,4,11,2,3,0,0,2,33,16,33,15,5,0,0,5
2000/01,2000-09-05,Tottenham,Everton,3,2,H,1,2,A,11,11,7,6,11,10,7,5,1,2,0,0,5,22,13,21,12,3,0,1,3
2000/01,2000-09-06,Charlton,Southampton,1,1,D,0,0,D,8,11,6,3,14,16,10,14,3,3,1,0,2,19,9,30,24,6,1,0,11
2000/01,2000-09-06,Chelsea,Arsenal,2,2,D,1,0,H,12,13,5,5,16,22,7,6,3,1,0,0,4,25,10,38,13,4,0,0,4
2000/01,2000-09-06,Coventry,Newcastle,0,2,A,0,1,A,13,13,3,6,11,18,6,8,1,1,0,0,2,26,9,29,14,2,0,2,2
2000/01,2000-09-06,Derby,Middlesbrough,3,3,D,0,1,A,9,5,5,4,8,10,11,5,3,2,0,0,6,14,9,18,16,5,0,0,5
2000/01,2000-09-06,Leicester,Ipswich,2,1,H,0,0,D,12,7,6,3,12,13,6,2,1,1,0,0,3,19,9,25,8,2,0,1,2
2000/01,2000-09-06,Liverpool,Aston Villa,3,1,H,3,0,H,11,9,7,4,13,7,8,7,0,2,0,0,4,20,11,20,15,2,0,2,2
2000/01,2000-09-09,Bradford,Arsenal,1,1,D,1,0,H,9,18,5,11,17,13,4,10,0,2,0,0,2,27,16,30,14,2,0,0,2
2000/01,2000-09-09,Coventry,Leeds,0,0,D,0,0,D,9,11,1,5,15,14,6,6,2,2,0,0,0,20,6,29,12,4,0,0,4
2000/01,2000-09-09,Ipswich,Aston Villa,1,2,A,0,1,A,15,5,5,2,9,13,5,3,1,3,0,0,3,20,7,22,8,4,0,1,4
2000/01,2000-09-09,Leicester,Southampton,1,0,H,0,0,D,17,9,6,5,6,9,10,6,0,0,0,0,1,26,11,15,16,0,0,1,0
2000/01,2000-09-09,Liverpool,Man City,3,2,H,1,0,H,14,9,8,7,17,17,9,4,3,4,0,0,5,23,15,34,13,7,0,1,7
2000/01,2000-09-09,Man United,Sunderland,3,0,H,1,0,H,15,5,7,1,18,14,4,4,1,3,0,0,3,20,8,32,8,4,0,3,4
2000/01,2000-09-09,Middlesbrough,Everton,1,2,A,1,0,H,9,12,5,9,16,5,7,7,3,0,0,0,3,21,14,21,14,3,0,1,3
2000/01,2000-09-09,Newcastle,Chelsea,0,0,D,0,0,D,10,10,4,3,17,21,5,6,0,3,0,0,0,20,7,38,11,3,0,0,3
2000/01,2000-09-10,Derby,Charlton,2,2,D,2,0,H,12,10,6,6,17,12,4,11,3,1,0,0,4,22,12,29,15,4,0,0,4
2000/01,2000-09-11,Tottenham,West Ham,1,0,H,0,0,D,15,11,7,5,14,13,11,3,1,2,0,0,1,26,12,27,14,3,0,1,3
2000/01,2000-09-16,Arsenal,Coventry,2,1,H,1,0,H,18,6,13,2,5,13,8,4,1,2,0,0,3,24,15,18,12,3,0,1,3
2000/01,2000-09-16,Aston Villa,Bradford,2,0,H,1,0,H,12,8,7,4,8,12,5,6,0,2,0,0,2,20,11,20,11,2,0,2,2
2000/01,2000-09-16,Charlton,Tottenham,1,0,H,1,0,H,9,10,5,5,8,10,7,5,0,0,0,0,1,19,10,18,12,0,0,1,0
2000/01,2000-09-16,Everton,Man United,1,3,A,0,3,A,6,17,4,9,10,11,6,5,4,1,0,0,4,23,13,21,11,5,0,2,5
2000/01,2000-09-16,Leeds,Ipswich,1,2,A,1,1,D,11,12,6,7,12,19,6,3,1,3,0,0,3,23,13,31,9,4,0,1,4
2000/01,2000-09-16,Southampton,Newcastle,2,0,H,0,0,D,13,10,9,7,14,14,4,8,0,0,0,0,2,23,16,28,12,0,0,2,0
2000/01,2000-09-16,Sunderland,Derby,2,1,H,1,0,H,15,10,8,5,16,28,4,5,2,3,0,0,3,25,13,44,9,5,0,1,5
2000/01,2000-09-17,Chelsea,Leicester,0,2,A,0,1,A,16,7,10,5,16,17,15,3,3,1,0,0,2,23,15,33,18,4,0,2,4
2000/01,2000-09-17,Man City,Middlesbrough,1,1,D,0,0,D,11,4,4,2,15,11,9,3,2,5,0,0,2,15,6,26,12,7,0,0,7
2000/01,2000-09-17,West Ham,Liverpool,1,1,D,0,1,A,15,7,4,2,5,13,9,0,0,2,0,0,2,22,6,18,9,2,0,0,2
2000/01,2000-09-23,Bradford,Southampton,0,1,A,0,1,A,14,6,6,4,14,18,7,5,3,1,0,0,1,20,10,32,12,4,0,1,4
2000/01,2000-09-23,Coventry,West Ham,0,3,A,0,2,A,9,12,2,10,12,11,5,6,0,1,0,0,3,21,12,23,11,1,0,3,1
2000/01,2000-09-23,Derby,Leeds,1,1,D,0,1,A,13,16,7,6,17,15,7,4,2,2,1,0,2,29,13,32,11,4,1,0,9
2000/01,2000-09-23,Ipswich,Arsenal,1,1,D,0,0,D,17,10,6,4,8,13,4,7,1,2,0,0,2,27,10,21,11,3,0,0,3
2000/01,2000-09-23,Liverpool,Sunderland,1,1,D,1,1,D,11,8,6,3,14,18,12,3,2,2,0,0,2,19,9,32,15,4,0,0,4
2000/01,2000-09-23,Man United,Chelsea,3,3,D,3,2,H,11,13,5,5,15,19,8,4,3,2,0,0,6,24,10,34,12,5,0,0,5
2000/01,2000-09-23,Middlesbrough,Aston Villa,1,1,D,0,0,D,12,15,5,7,7,14,5,5,3,0,0,0,2,27,12,21,10,3,0,0,3
2000/01,2000-09-23,Newcastle,Charlton,0,1,A,0,1,A,12,4,5,2,14,10,4,7,1,2,0,0,1,16,7,24,11,3,0,1,3
2000/01,2000-09-23,Tottenham,Man City,0,0,D,0,0,D,18,7,5,2,10,14,5,4,0,2,0,0,0,25,7,24,9,2,0,0,2
2000/01,2000-09-24,Leicester,Everton,1,1,D,1,0,H,10,9,4,3,14,13,9,3,3,1,0,0,2,19,7,27,12,4,0,0,4
2000/01,2000-09-30,Aston Villa,Derby,4,1,H,2,0,H,12,11,7,6,0,1,6,6,1,1,0,0,5,23,13,1,12,2,0,3,2
2000/01,2000-09-30,Charlton,Coventry,2,2,D,0,1,A,12,10,8,6,8,16,6,6,1,2,0,0,4,22,14,24,12,3,0,0,3
2000/01,2000-09-30,Everton,Ipswich,0,3,A,0,1,A,7,9,3,7,6,5,4,1,1,0,0,0,3,16,10,11,5,1,0,3,1
2000/01,2000-09-30,Leeds,Tottenham,4,3,H,0,1,A,14,10,7,5,11,20,6,4,0,2,0,0,7,24,12,31,10,2,0,1,2
2000/01,2000-09-30,Man City,Newcastle,0,1,A,0,0,D,9,15,7,9,16,12,10,8,0,1,0,0,1,24,16,28,18,1,0,1,1
